AquiferSystem,Annual_precipitation_divided_by_potential_evapotranspiration,Percent_of_area_covered_by_cropland
Lower Fortescue Valley,0.127850434,0.00128873
Ti Tree Basin,0.09537842,0.003256417
Lower Gascoyne Alluvial Aquifer,0.079932777,0.049000638
Uley Basin,0.328116244,1.580208221
Southeastern Eucla Basin,0.233191825,34.53712315
Polda Basin,0.18968523,34.21053121
Central Eucla Basin,0.114978085,10.80834613
Missionary Plains Syncline and Mereenie Anticline,0.113828558,0.001338643
Southeastern System,0.085964062,0.000549068
Daly Basin,0.400581966,0.081937267
Northern Georgina Basin,0.20049186,0.003499292
Wiso Basin,0.173757401,0.003385579
Biloela Basin,0.334906762,3.355299713
Sydney Basin,0.611725147,0.809029764
Gunnedah Basin and Liverpool Plains,0.366190151,25.56415746
Latrobe Valley,0.496119791,13.53315041
Eastern Gippsland Basin,0.460478478,11.5366223
Seaspray Region in Southwestern Gippsland Basin,0.571933702,11.22104649
Howard East Aquifer,0.733480255,0.164238194
Longford Tertiary Basin,0.504078446,14.47735511
Uitenhage Artesian Basin,0.306969608,2.434302891
Cape Flats Aquifer,0.361037573,6.793058598
Atlantis Aquifer,0.29050596,8.832666208
Southwestern Coastal Sandveld and Elandsfontein Aquifer,0.199129727,37.43860906
Hermanus Coastal Aquifer,0.398783251,4.116843345
Elandsbaai and Strandfontein Coastal Aquifers,0.116044723,9.083952544
Southern Namaqualand Coastal Aquifer,0.078189475,1.054771241
Stilbaai Coastal Aquifer,0.278030523,20.7269496
Saint Francis Coastal Aquifer,0.437283269,9.694186274
Western Saldanah and Langebaan Lagoon Aquifer System,0.238184063,12.8953614
Stampriet Kalahari Karoo Aquifer System,0.100116589,0.147150647
Tuli Karoo Aquifer,0.177271575,4.747897863
Southcentral Karoo Basin,0.16099607,0.737434356
Western Karoo Basin,0.106791447,0.278352079
Central Karoo Basin,0.394030993,12.56276335
Southeastern Coastal Karoo Basin,0.474940994,13.46352172
Eastern Karoo Basin,0.507125379,19.97352443
Northeastern Karoo Basin,0.388925001,29.1326482
Northern Karoo Basin,0.2355319,20.86630364
Oropesa Plain,0.29678869,13.32119967
Southern Zululand Primary Coastal Aquifer,0.765664628,11.35385079
Southern Maputaland Coastal Plain,0.485207828,8.931198112
Central Maputaland Coastal Plain,0.452939657,7.615682684
Northern Maputaland Coastal Plain,0.442601637,7.355134659
Springbok Flats Karoo Basin,0.282041766,9.567626524
Ghaap Plateau Dolomite Aquifer System,0.189427806,0.180755662
Pomfret-Vergelegen Dolomitic Aquifer,0.14462957,0.697739805
North West Dolomite Aquifer System,0.296633346,15.98863866
Central Canterbury Plains,0.662812115,60.502201
Northern Canterbury Plains,0.632207227,45.67167885
Southern Canterbury Plains,0.57796223,44.73675854
Ashland Flats,0.878211064,42.98589212
Kaikoura Plain,0.85697563,24.13581129
Waipara Alluvial Basin,0.568680876,50.32401539
Central Culverden Basin,0.672315809,34.00099149
Southern Culverden Basin,0.661094243,46.19920126
Northern Culverden Basin,0.690744015,38.18472913
Aveiro Quaternary and Cretaceous Aquifer System,0.767871394,8.314598071
Benkersandstein Aquifer System,0.847837514,27.6168573
Bonifacio Coastal Aquifer,0.327057447,1.762873882
Central Bohemian Cretaceuos Basin,0.59580285,56.85454134
Eastern Bohemian Cretaceous Basin,0.632348062,51.35625762
Northwestern Basal Cretaceous Aquifer,0.708378361,43.35921668
Southwestern Bohemian Cretaceous Basin,0.659231447,69.399554
Southern Bohemian Tertiary and Cretaceous Sedimentary Aquifers,0.577921046,62.81396957
Cheb Basin,0.774696703,49.35491345
Pilsen Basin,0.835880518,44.36422063
Manetin Basin,0.917938889,36.03729791
Kladno-Rakovnik Basin,0.719053916,55.61943011
Trebon Basin,0.789315055,30.4656582
Upper Morovian Basin,0.650514195,62.26975693
Lower Morovian Basin,0.631501302,45.25463033
Central Vienna Basin,0.579637467,52.89191502
Southern Vienna Basin,0.583258597,40.07859046
Northern Vienna Basin,0.707558774,37.29150983
Odra Gate,0.787845971,58.30005991
Otava and Blanice Quaternary Aquifer System,0.825222024,56.59408233
Dumfries Basin Aquifer,1.531482486,12.17726611
Yorkshire Chalk Aquifer,0.876984999,72.80561523
Lincolnshire Chalk Aquifer,0.827295849,70.55560027
Norfolk Chalk Aquifer,0.832663926,59.28517258
Thames Valley and London Basin,0.805778312,32.62878281
Hertfordshire and Cambridgeshire Chalk Aquifer,0.781677958,61.2449629
Southern Downs Chalk Aquifer,1.044160312,37.5032261
Southern Chalk Aquifer,0.977888242,36.05237511
Salisbury Plain and Hampshire Chalk Aquifer,0.952819205,58.77448698
Kristianstad Plain,0.86729175,31.14207703
Limpopo Plateau,0.327675292,12.3497193
Letaba Lowveld,0.335439288,3.998888128
Bangkok Basin,0.61132315,42.24487215
Southeast Lower Chao Phraya Basin,0.743968191,53.2231378
Middle Chao Phraya Basin,0.644343033,68.71643997
Southwest Rayong Basin,0.713071698,21.800747
Coastal Rayong Basin,0.778742318,14.48780457
Northern Rayong Basin,0.715157505,20.73051417
Southwestern Khorat Plateau,0.613946663,61.31772959
Northern Khorat Plateau,0.656280085,60.22645769
Palo Verde Valley,0.032952241,27.81459036
Parker Valley,0.037626342,31.05159334
Pingtung Plain,1.669505567,22.6980461
South Chianan Plain,1.374738693,10.08200733
North Chianan Plain,1.156945409,29.34989903
Taichung Coastal Alluvial Aquifer,1.164855142,32.28055438
Northern Taichung Basin,1.228965067,14.04032104
Southern Taichung Basin,1.262882609,27.44011465
Houlong Alluvial Plain Aquifer,1.266842958,25.11932959
Jhonggang Alluvial Plain,1.276380247,13.2810958
Toucian-Fongshan Alluvial Plain,1.360201794,14.67486339
Taoyuan-Chungli Tableland,1.475896141,20.28751694
Taipei Basin,2.015952011,2.450320876
Lanyang Plain,2.180124615,18.45684661
Choshui Alluvial Fan,1.000708252,33.36030077
Hengchun Plain Karst Aquifer System,1.365891509,28.57194141
Northern Hualien-Taitung Valley,1.458874943,15.72170315
Northcentral Hualien-Taitung Valley,1.44080738,28.10793368
Southcentral Hualien-Taitung Valley,1.526139326,28.54942744
Southern Hualien-Taitung Valley,1.391152466,18.84772565
Cuauhtemoc Basin,0.229212512,41.45811009
Mesilla-Conejos-Medanos Basin,0.098233135,0.152337666
Guerrero-Yepomera Aquifer,0.245273758,25.7095159
San Felipe-Punta Estrella Aquifer,0.027412131,0.000912089
Lampazos Villaldama Aquifer,0.220862889,6.372496269
Campo Mina Aquifer,0.18792341,0.410121225
Guadiana Valley,0.260988542,31.70917145
Canatlan Valley,0.274230174,39.64580823
Laguna de Santiaguillo Basin,0.257698458,33.8
Loreto Aquifer,0.188894653,29.1257693
Western Villa Garcia Aquifer,0.21014902,17.67983491
Eastern Villa Garcia Aquifer,0.211373134,23.71587102
La Blanca Aquifer,0.186094456,28.90351441
Chupaderos Aquifer,0.186341594,34.7244858
Ojocaliente Aquifer,0.20025136,33.43431801
Navidad-Potosi-Raices Aquifer,0.211093994,14.53125521
Southern Guadalupe Garzaron Aquifer,0.173103005,1.374259123
Northern Guadalupe Garzaron Aquifer,0.196072079,0.5332484
El Salvador Aquifer,0.182206122,3.363959073
Puerto Madero Aquifer,0.17187154,14.79637389
Aguanaval Aquifer,0.205349684,41.39691772
Abrego Aquifer,0.22833237,34.58308387
Sabinas Aquifer,0.268073401,27.52338004
Sain Alto Aquifer,0.228842017,36.33793076
Hidalgo Aquifer,0.244643321,48.1753376
Western El Palmar Aquifer,0.215702371,43.35372101
Eastern El Palmar Aquifer,0.188979566,9.714972968
Guadalupe de Las Corrientes Aquifer,0.168624501,9.492199975
El Cardito Aquifer,0.157370853,1.770455514
Cienega Prieta-Moroleon Aquifer,0.387983043,28.25336149
Salvatierra-Acambara and Eastern Cienega Prieta-Moroleon Aquifers,0.35425526,40.49840721
Tlaltenango-Tepechitlan Aquifer,0.364349088,26.13588285
Northern Jalpa-Juchipila Aquifer,0.319262214,16.03146513
Southern Jalpa-Juchipila Aquifer,0.356734416,9.767872822
Villanueva Aquifer,0.255636278,27.85297675
Jerez Aquifer,0.245929739,24.0810456
Valparaiso Aquifer,0.265999022,21.46624017
Zacatepec Aquifer,0.513467207,27.81166426
Tecolutla Aquifer,1.00659563,56.7565652
Ojai Basin,0.277483929,0.859898477
Nochixtlan Aquifer,0.367558029,22.78360571
Miahuatlan Aquifer,0.364797902,17.85158006
Rio Baluarte Aquifer,0.489061453,20.1298362
Rio Elota Aquifer,0.349279983,38.86976311
Eastern La Sabana Aquifer,0.683322222,4.209124311
Western La Sabana Aquifer,0.664616757,6.126587062
Jamiltepec Aquifer,0.637676296,13.74420877
Chachaua Aquifer,0.610411258,13.47808283
San Marcos-Palo Verde Aquifer,0.067127632,1.000515078
San Bruno Aquifer,0.067153922,0.090909091
San Lucas Aquifer,0.065689362,0.198160783
Mid-Waitaki Valley,0.495387703,26.26229995
Lower Waitaki South Coastal Canterbury Aquifer,0.442217007,42.2882418
Logar Aquifer,0.194815566,22.27189719
Central Kabul Basin,0.181760526,4.725255661
Deh Sabz Basin,0.204286837,18.03001669
Shomali Basin,0.196902305,36.44732577
Darulaman-Pagh Basin,0.186672727,18.88415401
San Jose de Guaymas Aquifer,0.111048142,1.225468868
Sabinas Paras Aquifer,0.243022607,7.343019936
Bajo Rio Bravo,0.235933425,4.502208627
Mendez - San Fernando Aquifer,0.30414577,11.06243591
Vicente Guerrero-Poanas Aquifer,0.241132759,31.81231256
Rio Piaxtla Aquifer,0.372541395,30.11464518
Rio Presido Aquifer,0.441232087,29.83077585
Valle de Escuinapa,0.527878295,25.6380504
Rio Canas Aquifer,0.577461749,16.3338037
Vanegas-Catorce Aquifer,0.164686338,1.584996565
Villa de Arriaga and Pino Suarez Aquifers,0.212889108,26.72302917
Perote-Zalayeta Aquifer,0.476626877,22.48014927
Northeastern Libres-Oriental Aquifer,0.28097362,16.75744073
Eastern Libres-Oriental Aquifer,0.352303901,22.57872106
Huatulco Aquifer,0.580939037,4.915530103
Dixie Valley,0.08074438,0.338244193
Virgin River Valley,0.066474982,0.174234921
Dugway-Government Creek Valley,0.101717409,0.259293751
Smoke Creek Desert,0.12788423,0.057194009
Hot Creek Valley,0.088230229,0.232468227
Stone Cabin Valley,0.075751377,0.989958641
Lower Meadow Valley Wash,0.056371075,0.10312057
Ralston Valley,0.076590887,0.053592179
Goshute Valley,0.144870485,0.234958134
Tule Valley,0.093416455,0.479904901
Kobeh Valley,0.160676158,0.109672992
Sarcobatus Flat,0.048536142,0.041004734
Skull Valley,0.14393579,0.789914466
Southern Butte Valley,0.156209047,0.081785068
Pine Valley,0.128067361,0.032561673
Penoyer Valley,0.088631992,1.42553162
Gold Flat,0.0732,0.147833784
Fish Springs Flat,0.099729874,0.141862088
Northern Tikapoo Valley,0.084069911,0.007706306
Wah Wah Valley,0.100321482,0.369995594
Southern Railroad Valley,0.081384554,0.565122012
Smith Creek Valley,0.133521468,0.50553333
Duck Lake Valley,0.167453312,0.567562692
Lida Valley,0.062164738,0.041549605
Hawthorne Whiskey Flat,0.071875,0.381075593
Grouse Creek Valley,0.165031111,4.343092696
Ivanpah Valley,0.057053786,0.025953223
Mud Meadows,0.111754103,0.114125317
Garden Basin,0.1053762,0.058446937
Pilot Valley,0.090991478,0.17513094
Lower Amargosa Valley,0.031411713,0.004809594
Coal Valley,0.103660488,0.12982903
Frenchman Flat,0.055273166,0.007884163
Long Valley,0.216584475,0.012752204
Edwards Creek Valley,0.117673303,0.510147572
Cactus Flat,0.074129347,0.138307681
Promontory Mountains Area,0.187926087,0.891073195
Southern Tikapoo Valley,0.064470416,0.081922077
Columbus Salt Marsh Valley,0.058926161,0.056654864
Cave Valley,0.15094571,0.076388743
Hualapai Flat,0.117064539,1.811105008
California Wash,0.047843683,0.015416261
Yucca Flat,0.066052363,0.153363133
San Emidio Desert,0.116207343,0.831678025
Antelope Valley near Topaz Lake,0.145753412,4.247679268
Hansel and North Rozel Flat,0.202120345,3.439060326
Blue Creek Valley,0.235324661,14.1682752
Sink Valley,0.145452147,0.039940699
Mercury Valley,0.058965517,0
Chicago Valley,0.037695185,0.007572147
Muddy River Springs Area,0.044587879,2.641983399
Truckee Meadows and Pleasant Valley,0.142600701,0.359518772
Western Washoe Valley,0.174808333,0.525466121
Eastern Washoe Valley,0.148971429,0.113914373
Long Valley in central Nevada,0.156127169,0.08949492
Socorro Basin,0.11018981,3.71058238
Engle Basin,0.121509067,0.164236769
Palomas Basin,0.117979067,0.871778392
Las Vegas Basin of northeast New Mexico,0.227260295,0.389303245
Flint Hills Upland,0.528700527,30.36107629
Osage Plains,0.632544562,27.58026529
Gypsum Hills,0.327421095,16.2913194
Dakota Aquifer in southeast Nebraska,0.541726313,67.40296032
Bone Spring-Victorio Peak Aquifer and Dell Valley,0.114364595,5.839312717
Crow Flats,0.1209309,0.325525641
Imperial Valley,0.026670781,48.46415489
Upper Borrego Valley,0.061358743,0.549748549
Lower Borrego and Ocotillo-Clark Valleys,0.036169256,3.311870118
Southern Owens Valley,0.066611294,0.353876221
Bishop Basin,0.0626836,1.007810867
Chaleant Valley,0.073131621,4.714733192
Round Valley and Pine Creek Basin,0.129188525,0.739428928
Dale Valley,0.032203079,0.014652519
Eastern Imperial and Amos and Oligby Valleys,0.028245864,0.146058871
Irwin Basin,0.038107463,0.002770673
La Posa Plain,0.04683538,0.000299205
Searles Valley,0.030779018,0.170458666
Indian Wells Valley,0.034273742,0.383133069
Rose Valley,0.066405325,0.001915549
Kern River Valley,0.107093651,3.630536306
Walker Basin Creek Valley,0.152084848,2.06509636
Long Valley near Crowley Lake,0.192242782,0.093057111
Bridgeport Valley,0.169730357,1.827658187
Long Valley in eastern California,0.194509009,0.239403553
Palen and Chuckwalla Valleys,0.028787706,0.107831057
Eastern Arroyo Seco Valley,0.032869186,0.024930141
Eastern Salton Sea,0.024635981,0.015481708
Coyote Wells Valley,0.039200565,0
Jacumba Valley,0.117306452,0.199703484
El Cajon Valley,0.162365789,0.032051282
Poway Valley,0.180387179,0.009596929
Escondido Valley,0.188801754,0.004542014
Warner Valley,0.194553614,1.414646422
Santa Maria Valley,0.193499281,0.384566995
San Pasqual Valley,0.165962069,5.060482037
Santa Margarita Valley,0.16595,0.420242915
San Luis Rey Valley,0.167717576,1.210985179
Temecula Valley,0.156472561,0.08512767
Eastern Elsinore Valley,0.156318605,0.116891669
Western Elsinore Valley,0.16015625,0.01504445
Bedford-Coldwater Valley,0.174125,0.067480258
San Juan Valley,0.182084,0.149178959
Cahuilla Valley,0.188112097,0.861826698
Terwilliger Valley,0.187138298,1.193450576
Thousand Oaks and Russell Valley,0.209592424,0.062595088
Conejo Basin,0.213269369,0.006497022
Simi Valley,0.205616484,0.050796656
San Fernando Valley,0.190398096,0.085020461
Western San Gabriel Valley,0.203544403,0.226833518
Eastern San Gabriel Valley,0.199726761,0.042850744
Southern San Gabriel Valley,0.209484375,0.126553071
Raymond Basin,0.226451316,0.043198957
Eastern Santa Clara River Valley,0.17731831,0.776388604
Pajaro Valley,0.392686068,32.78627262
Santa Cruz Coastal Terraces,0.494225862,0.480033477
Half Moon Bay Coastal Terraces,0.582565517,2.20699058
Livermore Valley,0.229359621,6.938788233
San Ramon Valley,0.28636,0.448108632
Ygnacio Valley,0.283214667,1.363738318
Clayton Basin,0.26990813,5.0463316
Pittsburg Plain,0.236405682,7.051269451
Petaluma Valley,0.481267781,25.67412363
Sonoma Valley,0.435431064,36.47212915
Kenwood Valley,0.522314815,6.425682508
East Bay Plain,0.34427988,0.315751284
San Mateo Plain,0.318426667,0.281940144
Niles Cone,0.220330389,1.906174212
North San Benito,0.219427311,47.57416025
Llagas Area,0.275409901,34.81857655
Panoche Valley,0.130334951,3.500136575
Pleasant Valley west of the San Joaquin Basin,0.096160825,42.30322012
Northern Kettleman Plain,0.097781592,46.50086908
Southern Kettleman Plain,0.105318216,36.45978708
Big Valley,0.509830612,10.75472064
Scotts Valley,0.507171429,12.54798052
Ukiah Valley,0.605542254,10.0501596
Anderson Valley,0.711097015,1.110666105
Covelo Round Valley,0.667355769,12.89249796
Little Lake Valley,0.82908,6.257092199
Fort Bragg Terrace,1.008753846,0.095394737
White Wolf Basin,0.122707967,24.54831575
Southern Kern Basin,0.08593355,43.074157
Antelope Plain and Lost Hills,0.104614169,42.51280187
Northern Kern Basin,0.084236224,45.57387614
Tule Basin,0.102676475,58.0244764
Kaweah Basin,0.125777368,59.07140476
Tulare Lake Basin,0.089949951,64.48407021
Westside Basin,0.089945537,63.80781306
Kings Basin,0.13070638,51.08453776
Madera Basin,0.136111845,49.50581783
Merced Basin,0.164807419,49.97076476
Modesto Basin,0.188826061,43.20109425
Cosumnes Basin,0.27127119,42.81535902
Delta-Mendota Basin,0.129259639,58.97465712
Tracy Basin,0.166837315,57.63735132
Eastern San Joaquin Basin,0.225459503,47.09413186
Turlock Basin,0.177340574,52.85310375
Chowchilla Basin,0.139774545,62.97745188
East Contra Basin,0.183804594,38.25048757
Solano Basin,0.266071126,54.91267593
North Yuba Basin,0.335419469,42.95972925
Vina Basin,0.341785555,27.65402634
South American Basin,0.262273448,27.11606643
South Yuba Basin,0.308673187,39.08690258
Central Colusa Basin,0.250553287,58.21341862
Northern Colusa Basin,0.274839003,59.22427174
Southern Colusa Basin,0.240553816,56.6634544
Wyandotte Creek Basin,0.352749195,16.44744577
Butte Basin,0.290522659,56.61784206
North American Basin,0.27731083,37.08797586
Yolo Basin,0.264868293,53.25385768
Eastern Sutter Basin,0.274628034,53.66024413
Western Sutter Basin,0.252570352,60.26517219
Red Bluff,0.323386444,13.91844605
Antelope Basin,0.325515873,36.13273225
Corning Basin,0.296878187,40.55495676
Los Molinos Basin,0.321532463,18.818963
Santa Monica Coastal Plain,0.1857,0.435381856
Hollywood Basin,0.19065,0.022428084
Central Basin,0.187276724,0.142409254
West Coast Basin,0.176945118,0.218460144
Orange County Coastal Plain,0.187598813,0.563408736
Oak Ridges Moraine,0.946179368,23.68765661
Black Warrior River Aquifer System (Eutaw and McShan Formations and Tuscaloosa Group),0.947413614,7.914414081
Southern Goose Lake Valley,0.254246256,2.467003473
South Fork Pitt River Basin,0.231450088,8.707126756
Alturas Warm Springs Valley,0.240548969,3.100846694
Big Valley in northern California,0.288655091,5.321095463
Fall River Valley,0.358191587,11.68082324
Madeline Plains,0.214652605,4.170831784
Willow Creek Basin,0.257829907,6.075072311
Secret Valley,0.172910884,1.825395286
Chino Basin,0.173814832,0.785627919
San Bernardino Basin,0.137661276,0.057101309
Riverside-Arlington Basin,0.158894172,0.06503642
Temescal Basin,0.184859615,0.009144261
Yucaipa Basin,0.160474468,0.030851379
San Timoteo Basin,0.153239831,0.342111592
Poza Rica Aquifer,0.860051464,55.48509217
Lower Rio Paz Aquifer,0.86538501,62.05394082
Sonsonate Aquifer,0.931020721,31.78789349
Cara Sucia-San Pedro Aquifer,0.902150177,52.54431388
Western Salvadoran Coastal Plain,1.025380579,50.58891994
Eastern Salvadoran Coastal Plain,0.988341469,47.28211229
Zapotitan Aquifer,0.947260421,23.93320776
Santa Ana Aquifer,0.874148108,18.61946632
Presidio-Redford Bolson and Del Peso Valley,0.115008551,1.119449746
Red River Delta,1.273899199,47.79953298
Southern Mekong Delta,1.16191204,48.23884959
Eastern Mekong Delta,0.926126842,48.0748924
Ha Tinh Coastal Quaternary Aquifers,1.519567375,44.45933608
Osaka Plain,1.017951369,3.08567573
Nara Basin,1.153747993,12.01342455
Kyoto Basin,1.238753797,7.368754694
Kinokawa Valley,1.054573232,7.813333333
Yoshino Basin,1.235747826,7.61243273
Shigenobu-gawa Alluvial Fan,1.255672243,4.93580936
Western Chikugo-Saga Plain,1.427527219,23.96387043
Central Chikugo-Saga Plain,1.425017077,27.37910027
Toyooka Basin,1.614121505,22.41662928
West-central Kanto Plain,1.085868085,13.29689962
Northwestern Kanto Plain,1.093956319,13.8575435
Hiroshima Plain,1.515383234,2.414275593
Kuzuryu Basin,1.979185732,20.04383768
Tedori Alluvial Fan,1.813779695,11.94776791
Sendai River Basin,1.555319802,14.84217877
Asahikawa Basin,1.28424595,33.9370778
Limmat Valley,1.230803636,6.243387138
Wiggertal Valley,1.381606731,19.84605105
North Seeland Aquifer,1.032576,34.58492905
Middle-Upper Devonian Aquifer System,0.885271019,23.07535283
Western Fomanat Plain,0.879877178,50.81896785
Southern Maryborough Basin,0.625503424,2.628065596
Geer Basin and Hesbaye Chalk Aquifer,0.98456513,60.89362726
Mons Sedimentary Basin,0.918226336,42.39087039
Brussels Sands,0.944120896,53.03608868
Tournaisis Region Carbonate Aquifers,0.88423325,42.34666514
Bierzo Basin,0.823221472,11.145945
Xinzo de Limia Aquifer,1.361613276,35.51654623
Tietar Valley Aquifer,0.272372861,16.60014676
Moraleja Aquifer,0.415057558,33.82844364
Galisteo Aquifer,0.375085619,26.17543282
Vitoria-Gasteiz Quaternary Aquifer,0.755551302,44.78234626
Roussillon Plain,0.388974948,13.01944125
Forez Plain,0.675296467,35.15931066
Cuberta de el Saltador,0.173684247,20.34717722
Vega de Granada Aquifer,0.242892966,24.69181006
Fuente-de-Piedra Aquifer,0.35647614,32.51263324
Tajuna-Montes Universales Aquifer,0.420919985,6.436406856
Southern Guadiana Menor Basin,0.265976882,16.82575307
Eastern Guadiana Menor Basin,0.252052455,32.84826989
Upper Thracian Plio-Quaternary Aquifer,0.453500501,62.82047731
Dublin Basin,1.414829351,32.46555718
Mangaluru Coastal Aquifer System,2.290467197,6.367342875
Central Coastal Deccan Traps,1.945659606,10.50993375
Southern Coastal Gujarat Alluvial Plain,0.793454088,49.75673078
Lyonnais and South Dombes Miocene Aquifer System,0.838353575,38.87977168
Dauphine Miocene Molasses Aquifer System,0.83515291,33.66681662
Oja Alluvial Aquifers,0.462482831,67.07834253
Lillo-Quintanar Aquifer,0.277354677,62.83559846
Consuegra-Villacanas Aquifer,0.254188841,46.7061208
Tejo Alluvium,0.471336652,37.57030709
Campina de Faro and Sao Joao da Venda Aquifers,0.328947137,10.06038569
Ayamonte-Huelva Coastal Aquifer,0.300457143,16.87660001
Western Doon Valley,1.1210067,30.51477321
Ryan Flat,0.156473598,0.033269481
Lobo Flat,0.13520977,2.444053408
Wild Horse and Michigan Flats,0.135050186,1.70296988
Northern Hickory Aquifer,0.343564225,4.38494476
Lipan Flats,0.258043387,31.069231
West Jutland Quaternary and Tertiary Sand Aquifer System,1.119063355,45.95946969
West Zealand Quaternary Sand Aquifer System,0.768240127,58.53605914
Northeast Zealand Limestone and Sand Aquifer System,0.781785288,37.57411485
Djursland Limestone and Sand Aquifer System,0.871573799,43.73682218
Marana-Casinca Plain,0.551911261,22.06294023
Lhasa Valley,0.262111826,0.328356355
Lampang Basin,0.611745231,30.67590785
Northern Plane Basin,0.795951491,17.27158563
Burdekin Delta,0.501757017,10.71704244
Lachlan Alluvium,0.274063909,47.38486153
Semirom Basin,0.109640244,28.37217913
Eastern Lordegan Basin,0.13626646,46.29503356
Western Lordegan Basin,0.129556481,49.98530559
Eastern Kome Basin,0.106894203,19.0298708
Western Kome Basin,0.107449645,32.801417
Deh Bid Basin,0.081465786,13.69804987
Western Fakhrabad Basin,0.100894366,9.840758755
Eastern Fakhrabad Basin,0.102349107,11.31473186
Deh Kahan Basin,0.108497059,11.5668239
Shah Gheyb Basin,0.093594286,6.244445727
Upper Rustaq-Fork Basin,0.105176378,12.95337135
Dezhgah-Kordeh Basin,0.083017537,16.45786473
Chahghah Basin,0.081858787,11.41234994
Baghan Basin,0.080697674,20.28978052
Khane Ket Basin,0.099142466,5.889929666
Baladeh Basin,0.086087302,57.28854724
Sidon Basin,0.128693617,57.21695111
Dalon Basin,0.12655,46.9318413
Lishtar Basin,0.111539216,41.52539381
Takht Deraz Basin,0.133945455,60.19269977
Reyosh Basin,0.151008309,12.50821611
Yengejeh Basin,0.219251648,57.49144865
Daryache Namak Basin,0.105345353,0.365752308
Shiramin Basin,0.1688,20.54630416
Tafresh Basin,0.13552973,20.8481842
Kouhbanan Basin,0.05019185,0.7645
Islam Abad Plain,0.232954108,75.90903619
Northern Guam Lens Aquifer,1.23447707,14.8
Matanza-Riachuelo Aquifer System,0.691920806,22.6363202
Vanrhynsdorp Aquifer,0.100158162,13.78988318
Gandoman-Boldaji Aquifer,0.143810959,58.11234397
Pirie Basin,0.1654327,45.36547968
Willchra Basin,0.151042005,63.0978018
Booborowie Valley,0.250582967,78.88589115
Don River Delta Aquifer,0.497281879,6.156483987
Proserpine Basin,0.743988757,15.42320286
Lower Herbert Aquifer,0.89661614,18.85110805
Mulgrave Aquifer,1.250383863,8.191712142
Arriga Flats,0.576172973,7.453865337
Ivanhoe and Packsaddle Plains,0.318817647,5.605612518
Weaber Plain,0.330576555,6.848371777
Knox Creek Plain,0.326752885,0.004379091
Keep River Plain,0.32989125,0.008765497
Mantinea Flats and Carlton Plain,0.28774752,0.385768487
Carmel Valley,0.569454167,2.027409117
Tahoe Valley South Basin,0.467806604,0.259883168
Smith River Plain,1.770833163,12.35918664
Astian Aquifer,0.407767536,27.47487729
Grande Terre Limestone Aquifer,0.699984903,9.998415053
Rheintal Aquifer,1.490490981,16.09451389
Ljubljana Polje,1.534905978,18.81421053
Ljubljana Barje,1.553907895,26.47278334
Eastern Celje Basin,1.277369863,33.02340652
Eastern Isonzo-Soca High Plain,1.361514167,22.72547593
Sofia Neogene Graben,0.56301103,45.17745043
Malm Valangnian Aquifer,0.467832955,65.28610282
Lom- Pleven Depression,0.512514034,64.92565277
Kazanlak Kettle,0.50498908,49.38364959
Western Nakambe Basin,0.302632228,38.07189885
Grazer Feld,0.944498237,17.55474296
Leibnitzer Feld,1.038778039,30.76460768
Lower Mur Valley,0.967179365,42.4697198
Krsko-Brezice Polje Aquifer,1.147379921,40.91205285
San Agustin Plains,0.159221715,0.077584195
Salzburg Basin,1.587144084,21.16776748
Northern Massa Basin,0.090447147,24.29375728
Lower Souss Basin,0.105064225,17.99947911
Central Souss Basin,0.108980766,22.64622201
Upper Souss Basin,0.117398517,20.95363488
Guelmim Basin,0.056242166,6.59636405
Middle Tata Alluvial Basin,0.05779,2.813823459
Taznakht Plain,0.135506621,1.308625951
Western Ouarzazate Basin,0.082777161,1.16955718
Mezguita Oasis,0.043253676,9.737515605
Tinzouline Oasis,0.035031304,4.939952218
Temata Oasis,0.026670954,5.52752703
Fezouata Oasis,0.022701967,2.517394365
Ktaoua Oasis,0.019953086,5.262348812
Mhamid Oasis,0.018097041,2.233427951
Western Galilee Basin,0.316675179,44.51346395
Coastal Aquifer,0.225169584,44.7714525
Northern Shuicheng Basin,1.010722449,3.032666854
Upper Beichuan Area,0.368987407,48.11504052
Nanchuan Area,0.323631579,19.29000556
Xinachuan Area,0.340244444,36.40468227
Lanzhou Valley Basin,0.264207368,2.807043395
Wuhai Basin,0.091207313,12.83571687
Pauma Valley,0.169764583,0.205142857
Golmud Alluvial Fan,0.026414682,6.222595244
Urumqi Valley,0.129082679,8.834506732
